position,name,team,
GK,Stipe Pletikosa,8, Rostov
GK,Ivan Kelava,8, Dinamo Zagreb
GK,Danijel Subašić,8, Monaco
DF,Josip Šimunić,8, Dinamo Zagreb
DF,Vedran Ćorluka,8, Bayer Leverkusen
DF,Danijel Pranjić,8, Bayern Munich
DF,Gordon Schildenfeld,8, Eintracht Francfort
DF,Domagoj Vida,8, Dinamo Zagreb
DF,Šime Vrsaljko,8, Dinamo Zagreb
MF,Ivan Rakitić,8, Séville
MF,Ognjen Vukojević,8, Dynamo Kiev
MF,Luka Modrić,8, Tottenham Hotspur
MF,Darijo Srna ,8, Chakhtar Donetsk
MF,Tomislav Dujmović,8, Real Saragosse
MF,Niko Kranjčar,8, Tottenham Hotspur
MF,Ivan Perišić,8, Borussia Dortmund
FW,Nikica Jelavić,8, Everton
FW,Mario Mandžukić,8, VfL Wolfsbourg
FW,Ivica Olić,8, Bayern Munich
FW,Eduardo,8, Chakhtar Donetsk
GK,Łukasz Fabiański,9, Arsenal
GK,Wojciech Szczęsny,9, Arsenal
DF,Marcin Wasilewski,9, Anderlecht
DF,Jakub Wawrzyniak,9, Legia Warsaw
DF,Tomasz Jodłowiec,9, Polonia Warsaw
DF,Łukasz Piszczek,9, Borussia Dortmund
DF,Grzegorz Wojtkowiak,9, Lech Poznań
DF,Damien Perquis,9, Sochaux
DF,Sebastian Boenisch,9, Werder Bremen
DF,Marcin Kamiński,9, Lech Poznań
DF,Dariusz Dudka,9, Auxerre
MF,Jakub Błaszczykowski ,9, Borussia Dortmund
MF,Sebastian Mila,9, Śląsk Wrocław
MF,Sławomir Peszko,9, 1. FC Köln
MF,Ludovic Obraniak,9, Bordeaux
MF,Adrian Mierzejewski,9, Trabzonspor
MF,Maciej Rybus,9, Terek Grozny
MF,Adam Matuszczyk,9, Fortuna Düsseldorf
MF,Eugen Polański,9, Mainz 05
FW,Robert Lewandowski,9, Borussia Dortmund
FW,Ireneusz Jeleń,9, Lille
FW,Kamil Grosicki,9, Sivasspor
GK,Eduardo,10, Benfica
GK,Rui Patrício,10, Sporting
GK,Beto,10, CFR Cluj
DF,Bruno Alves,10, Zenit Saint Petersburg
DF,Pepe,10, Real Madrid
DF,Fábio Coentrão,10, Real Madrid
DF,João Pereira,10, Sporting
DF,Rolando,10, Porto
DF,Ricardo Costa,10, Valencia
DF,Nélson,10, Betis
MF,Raul Meireles,10, Chelsea
MF,João Moutinho,10, Porto
MF,Miguel Veloso,10, Genoa
MF,Paulo Machado,10, Toulouse
MF,Manuel Fernandes,10, Beşiktaş
MF,Rúben Micael,10, Real Zaragoza
FW,Cristiano Ronaldo ,10, Real Madrid
FW,Nani,10, Manchester United
FW,Hélder Postiga,10, Real Zaragoza
FW,Hugo Almeida,10, Beşiktaş
FW,Ricardo Quaresma,10, Beşiktaş
FW,Nélson Oliveira,10, Benfica
GK,Vladimir Gabulov,11, Anzhi Makhachkala
GK,Igor Akinfeev,11, CSKA Moscow
DF,Aleksandr Anyukov,11, Zenit Saint Petersburg
DF,Vasili Berezutskiy,11, CSKA Moscow
DF,Sergei Ignashevich,11, CSKA Moscow
DF,Yuri Zhirkov,11, Anzhi Makhachkala
DF,Aleksei Berezutskiy,11, CSKA Moscow
DF,Yevgeni Makeyev,11, Spartak Moscow
MF,Roman Shirokov,11, Zenit Saint Petersburg
MF,Igor Denisov,11, Zenit Saint Petersburg
MF,Konstantin Zyryanov,11, Zenit Saint Petersburg
MF,Alan Dzagoev,11, CSKA Moscow
MF,Igor Semshov,11, Dynamo Moscow
MF,Dmitri Loskov,11, Lokomotiv Moscow
MF,Sergei Semak,11, Zenit Saint Petersburg
MF,Dmitri Kombarov,11, Spartak Moscow
FW,Roman Pavlyuchenko,11, Lokomotiv Moscow
FW,Andrei Arshavin,11, Zenit Saint Petersburg
FW,Pavel Pogrebnyak,11, Fulham
FW,Aleksandr Kerzhakov,11, Zenit Saint Petersburg
FW,Artem Dzyuba,11, Spartak Moscow
GK,Iker Casillas ,12, Real Madrid
GK,Víctor Valdés,12, Barcelona
GK,Pepe Reina,12, Liverpool
DF,Andoni Iraola,12, Athletic Bilbao
DF,Gerard Piqué,12, Barcelona
DF,Carles Puyol,12, Barcelona
DF,Sergio Ramos,12, Real Madrid
DF,Álvaro Arbeloa,12, Real Madrid
DF,Jordi Alba,12, Valencia
MF,Thiago Alcântara,12, Barcelona
MF,Andrés Iniesta,12, Barcelona
MF,Iker Muniain,12, Athletic Bilbao
MF,Xavi Hernández,12, Barcelona
MF,Cesc Fàbregas,12, Barcelona
MF,Juan Mata,12, Chelsea
MF,Xabi Alonso,12, Real Madrid
MF,Sergio Busquets,12, Barcelona
MF,Javi Martínez,12, Athletic Bilbao
MF,Santi Cazorla,12, Málaga
MF,David Silva,12, Manchester City
MF,Jesús Navas,12, Sevilla
FW,Roberto Soldado,12, Valencia
FW,Fernando Llorente,12, Athletic Bilbao
GK,Andreas Isaksson,13, PSV
GK,Johan Wiland,13, Copenhagen
DF,Mikael Lustig,13, Celtic
DF,Olof Mellberg,13, Olympiacos
DF,Daniel Majstorović,13, Celtic
DF,Martin Olsson,13, Blackburn Rovers
DF,Andreas Granqvist,13, Genoa
DF,Mikael Antonsson,13, Bologna
DF,Oscar Wendt,13, Borussia Mönchengladbach
DF,Jonas Olsson,13, West Bromwich Albion
MF,Emir Bajrami,13, Twente
MF,Sebastian Larsson,13, Sunderland
MF,Anders Svensson,13, Elfsborg
MF,Kim Källström,13, Lyon
MF,Pontus Wernbloom,13, CSKA Moscow
MF,Samuel Holmén,13, İstanbul BB
MF,Ola Toivonen,13, PSV
MF,Rasmus Elm,13, AZ
FW,Zlatan Ibrahimović ,13, Milan
FW,Johan Elmander,13, Galatasaray
FW,Tobias Hysén,13, IFK Göteborg
FW,John Guidetti,13, Feyenoord
GK,Petr Čech,14, Chelsea
GK,Jaroslav Drobný,14, Hamburger SV
DF,Michal Kadlec,14, Bayer Leverkusen
DF,Tomáš Sivok,14, Beşiktaş
DF,Daniel Pudil,14, Cesena
DF,Roman Hubník,14, Hertha Berlin
DF,Theodor Gebre Selassie,14, Slovan Liberec
DF,David Limberský,14, Viktoria Plzeň
DF,František Rajtoral,14, Viktoria Plzeň
MF,Jan Rajnoch,14, Sivasspor
MF,Tomáš Rosický ,14, Arsenal
MF,Jaroslav Plašil,14, Bordeaux
MF,Tomáš Hübschman,14, Shakhtar Donetsk
MF,Daniel Kolář,14, Viktoria Plzeň
MF,Milan Petržela,14, Viktoria Plzeň
MF,Václav Pilař,14, Viktoria Plzeň
MF,Petr Jiráček,14, Wolfsburg
FW,Jan Rezek,14, Anorthosis Famagusta
FW,Milan Baroš,14, Galatasaray
FW,Jiří Štajner,14, Slovan Liberec
FW,David Lafata,14, Baumit Jablonec
FW,Tomáš Pekhart,14, Nürnberg
GK,Manuel Neuer,15, Bayern Munich
GK,Tim Wiese,15, Werder Bremen
DF,Marcel Schmelzer,15, Borussia Dortmund
DF,Benedikt Höwedes,15, Schalke 04
DF,Dennis Aogo,15, Hamburger SV
DF,Mats Hummels,15, Borussia Dortmund
DF,Holger Badstuber,15, Bayern Munich
DF,Christian Träsch,15, VfL Wolfsburg
DF,Jérôme Boateng,15, Bayern Munich
MF,Sami Khedira,15, Real Madrid
MF,Simon Rolfes,15, Bayer Leverkusen
MF,Mesut Özil,15, Real Madrid
MF,André Schürrle,15, Bayer Leverkusen
MF,Thomas Müller,15, Bayern Munich
MF,Toni Kroos,15, Bayern Munich
MF,Marco Reus,15, Borussia Mönchengladbach
MF,Lars Bender,15, Bayer Leverkusen
FW,Miroslav Klose,15, Lazio
FW,Cacau,15, VfB Stuttgart
FW,Mario Gómez,15, Bayern Munich
GK,Oleksandr Rybka,16, Shakhtar Donetsk
GK,Maksym Koval,16, Dynamo Kyiv
GK,Andriy Pyatov,16, Shakhtar Donetsk
DF,Yaroslav Rakitskiy,16, Shakhtar Donetsk
DF,Artem Fedetskiy,16, Karpaty Lviv
DF,Dmytro Chygrynskiy,16, Shakhtar Donetsk
DF,Vyacheslav Shevchuk,16, Shakhtar Donetsk
DF,Serhiy Kryvtsov,16, Shakhtar Donetsk
DF,Yevhen Cheberyachko,16, Dnipro Dnipropetrovsk
DF,Andriy Rusol,16,Retired
DF,Mykola Ischenko,16, Illichivets Mariupol
DF,Vasyl Kobin,16, Shakhtar Donetsk
DF,Ihor Oshchypko,16, Karpaty Lviv
DF,Oleksandr Romanchuk,16, Volyn Lutsk
MF,Oleksiy Hay,16, Shakhtar Donetsk
MF,Maksym Kalynychenko,16, Tavriya Simferopol
MF,Edmar Aparecida,16, Metalist Kharkiv
MF,Ihor Khudobyak,16, Karpaty Lviv
MF,Denys Kozhanov,16, Illichivets Mariupol
MF,Serhiy Kravchenko,16, Dnipro Dnipropetrovsk
MF,Denys Oliynyk,16, Dnipro Dnipropetrovsk
MF,Taras Stepanenko,16, Shakhtar Donetsk
FW,Andriy Shevchenko,16, Dynamo Kyiv
FW,Roman Bezus,16, Vorskla Poltava
FW,Yevhen Seleznyov,16, Shakhtar Donetsk
FW,Anton Shynder,16, Tavriya Simferopol
FW,Oleksiy Antonov,16, Dnipro Dnipropetrovsk
FW,Artem Kravets,16, Dynamo Kyiv
